"id","estado","estado-slug","municipio","municipio-slug","municipio-poblacion","fecha","c-negativos","c-sospechosos","c-confirmados","c-defunciones","d-negativos","d-sospechosos","d-confirmados","d-defunciones"
"45","Baja California","BC","Rosarito","ROS","96734","2020-04-08","19","10","2","0","11","10","1","0"
"46","Baja California","BC","Ensenada","ENS","486639","2020-04-08","99","14","2","0","30","-13","0","0"
"47","Baja California","BC","Tecate","TEC","102406","2020-04-08","20","8","6","0","14","3","6","0"
"48","Baja California","BC","San Quintin","SQ","0","2020-04-08","10","3","0","0","0","2","0","0"
"49","Baja California","BC","Mexicali","MXL","988417","2020-04-09","245","75","96","6","12","-7","12","1"
"50","Baja California","BC","Tijuana","TJ","1641570","2020-04-09","303","149","155","11","-1","27","9","3"
"51","Baja California","BC","Rosarito","ROS","96734","2020-04-09","19","10","2","0","0","0","0","0"
"52","Baja California","BC","Ensenada","ENS","486639","2020-04-09","101","15","3","0","2","1","1","0"
"53","Baja California","BC","Tecate","TEC","102406","2020-04-09","20","10","6","0","0","2","0","0"
"54","Baja California","BC","San Quintin","SQ","0","2020-04-09","10","2","1","0","0","-1","1","0"
"55","Baja California","BC","Mexicali","MXL","988417","2020-04-10","256","95","107","7","11","20","11","1"
"56","Baja California","BC","Tijuana","TJ","1641570","2020-04-10","314","182","181","18","11","33","26","7"
"57","Baja California","BC","Rosarito","ROS","96734","2020-04-10","19","10","4","0","0","0","2","0"
"58","Baja California","BC","Ensenada","ENS","486639","2020-04-10","109","27","3","0","8","12","0","0"
"59","Baja California","BC","Tecate","TEC","102406","2020-04-10","20","11","8","0","0","1","2","0"
"60","Baja California","BC","San Quintin","SQ","0","2020-04-10","10","2","1","0","0","0","0","0"
"61","Baja California","BC","Mexicali","MXL","988417","2020-04-11","256","133","118","8","0","38","11","1"
"62","Baja California","BC","Tijuana","TJ","1641570","2020-04-11","314","216","201","18","0","34","20","0"
"63","Baja California","BC","Rosarito","ROS","96734","2020-04-11","19","12","4","0","0","2","0","0"
"64","Baja California","BC","Ensenada","ENS","486639","2020-04-11","109","33","4","1","0","6","1","1"
"65","Baja California","BC","Tecate","TEC","102406","2020-04-11","20","13","9","0","0","2","1","0"
"66","Baja California","BC","San Quintin","SQ","0","2020-04-11","10","2","1","0","0","0","0","0"
"67","Baja California","BC","Mexicali","MXL","988417","2020-04-12","277","130","131","11","17","-3","13","3"
"68","Baja California","BC","Tijuana","TJ","1641570","2020-04-12","331","213","217","18","8","-3","16","0"
"69","Baja California","BC","Rosarito","ROS","96734","2020-04-12","19","13","4","0","0","1","0","0"
"70","Baja California","BC","Ensenada","ENS","486639","2020-04-12","112","27","4","1","1","-6","0","0"
"71","Baja California","BC","Tecate","TEC","102406","2020-04-12","22","11","12","0","2","-2","3","0"
"72","Baja California","BC","San Quintin","SQ","0","2020-04-12","13","4","2","0","3","2","1","0"
"73","Baja California","BC","Mexicali","MXL","988417","2020-04-13","277","119","150","11","0","-11","19","0"
"74","Baja California","BC","Tijuana","TJ","1641570","2020-04-13","331","190","240","21","0","-23","23","3"
"75","Baja California","BC","Rosarito","ROS","96734","2020-04-13","19","12","4","0","0","-1","0","0"
"76","Baja California","BC","Ensenada","ENS","486639","2020-04-13","112","27","4","1","0","0","0","0"
"77","Baja California","BC","Tecate","TEC","102406","2020-04-13","22","12","14","0","0","1","2","0"
"78","Baja California","BC","San Quintin","SQ","0","2020-04-13","13","4","2","0","0","0","0","0"
